sample	cnv
TCGA.32.1991.01A	55774
TCGA.76.6661.01B	55537
TCGA.08.0349.01A	55667
TCGA.02.0099.01A	55534
TCGA.19.2621.01B	55445
TCGA.19.0962.01B	55578
TCGA.12.3652.01A	55061
TCGA.06.1804.01A	55112
TCGA.14.2555.01B	55200
TCGA.28.1756.01C	54911
TCGA.RR.A6KB.01A	56768
TCGA.32.2638.01A	55210
TCGA.02.0024.01B	55306
TCGA.12.1599.01A	55583
TCGA.06.0154.01A	56798
TCGA.74.6581.01A	55497
TCGA.08.0352.01A	55544
TCGA.06.0171.01A	56946
TCGA.14.1459.01A	55481
TCGA.4W.AA9T.01A	56941
TCGA.14.1455.01A	55616
TCGA.19.5954.01A	55516
TCGA.81.5911.01A	55585
TCGA.06.0213.01A	57021
TCGA.06.0194.01A	55704
TCGA.12.0703.01A	55590
TCGA.OX.A56R.01A	56780
TCGA.08.0359.01A	55587
TCGA.12.0619.01A	55628
TCGA.41.2573.01A	55495
TCGA.14.1829.01A	55575
TCGA.12.0780.01A	55544
TCGA.19.1388.01A	54873
TCGA.02.0333.01A	55495
TCGA.15.1446.01A	55490
TCGA.06.0208.01B	56869
TCGA.28.5209.01A	55486
TCGA.06.0402.01A	55433
TCGA.12.1099.01A	55586
TCGA.14.1456.01B	55503
TCGA.06.0221.01A	57077
TCGA.06.1802.01A	55483
TCGA.32.1979.01A	55407
TCGA.06.0184.01A	56970
TCGA.02.2470.01A	55421
TCGA.76.4925.01A	55176
TCGA.19.0963.01B	55610
TCGA.06.0882.01A	55263
TCGA.08.0390.01A	55439
TCGA.06.6695.01A	55414
TCGA.12.0822.01A	55652
TCGA.08.0244.01A	55271
TCGA.08.0525.01A	55440
TCGA.06.0164.01A	55493
TCGA.26.5134.01A	55570
