sample	probe
TCGA.S9.A7QW.01A	17285
TCGA.P5.A5F0.01A	17280
TCGA.HT.7688.01A	17289
TCGA.HT.8108.01A	17273
TCGA.S9.A7R8.01A	17281
TCGA.S9.A7R1.01A	17300
TCGA.E1.5302.01A	17299
TCGA.FG.A87N.01A	17286
TCGA.HW.A5KK.01A	17292
TCGA.DB.5279.01A	17297
TCGA.DH.A7UV.01A	17298
TCGA.DU.A6S6.01A	17211
TCGA.FG.A711.01A	17138
TCGA.P5.A5EU.01A	17279
